,Company,Valuation ($B),Country,City,Industry,Select Inverstors,Founded Year,Financial Stage,Investors Count,Deal Terms,Year Joined,Total Raised ($B),years_to_unicorn,Select_Inverstor_1
510,SafetyCulture,1.6,Australia,Sydney,Internet software & services,"Blackbird Ventures, IndexVentures, Tiger Global Management",2004,None,12,6,2021,0.22281,17,"['Blackbird Ventures', ' IndexVentures', ' Tiger Global Management']"
511,Extend,1.6,United States,San Francisco,Fintech,"GreatPoint Ventures, Meritech Capital Partners, PayPal Ventures",2004,None,12,6,2021,0.22281,17,"['GreatPoint Ventures', ' Meritech Capital Partners', ' PayPal Ventures']"
512,Cognite,1.5,Norway,Lysaker,Data management & analytics,"Technology Crossover Ventures, Accel, Aker",2016,None,5,3,2021,0.3468,5,"['Technology Crossover Ventures', ' Accel', ' Aker']"
513,ASAPP,1.6,United States,New York,Artificial intelligence,"March Capital Partners, HOF Capital, Emergence Capital Partners",2014,None,13,2,2021,0.31257,7,"['March Capital Partners', ' HOF Capital', ' Emergence Capital Partners']"
514,SmartHR,1.6,Japan,Tokyo,Fintech,"BEENEXT, World Innovation Lab, Light Street Capital",2013,None,20,3,2021,0.22234,8,"['BEENEXT', ' World Innovation Lab', ' Light Street Capital']"
515,Mercury,1.6,United States,San Francisco,Fintech,"Andreessen Horowitz, Coatue Management, Clocktower Technology Ventures",2019,None,39,2,2021,0.15093,2,"['Andreessen Horowitz', ' Coatue Management', ' Clocktower Technology Ventures']"
516,HomeLight,1.6,United States,San Francisco,Fintech,"Zeev Ventures, Menlo Ventures,Crosslink Capital",2012,None,19,5,2021,0.5396,9,"['Zeev Ventures', ' Menlo Ventures', 'Crosslink Capital']"
517,Truepill,1.6,United States,Hayward,Health,"Initialized Capital, Sound Ventures, TI Platform Management",2016,None,12,2,2021,0.25606,5,"['Initialized Capital', ' Sound Ventures', ' TI Platform Management']"
518,ezCater,1.6,United States,Boston,"Supply chain, logistics, & delivery","Insight Venture Partners, ICONIQ Capital, Launchpad Venture Group",2007,None,21,9,2019,0.42016000000000003,12,"['Insight Venture Partners', ' ICONIQ Capital', ' Launchpad Venture Group']"
519,Wayflyer,1.6,Ireland,Dublin,Fintech,"QED Investors, DST Global, Left Lane Capital",2019,None,11,1,2022,0.3362,3,"['QED Investors', ' DST Global', ' Left Lane Capital']"
520,Promasidor Holdings,1.59,South Africa,Bryanston,Consumer & retail,"IFC, Ajinomoto",1979,None,2,1,2016,0.556,37,"['IFC', ' Ajinomoto']"
521,Baiwang,1.55,China,Beijing,Fintech,"Guozhong Venture Capital Management, Shenzhen Capital Group, Oriental Fortune Capital",2015,None,8,1,2019,0.22435,4,"['Guozhong Venture Capital Management', ' Shenzhen Capital Group', ' Oriental Fortune Capital']"
522,Iluvatar CoreX,1.55,China,Shanghai,Hardware,"Centurium Capital, Cedarlake Capital, Unicom Innovation Venture Capital",2015,None,8,1,2021,0.18552000000000002,6,"['Centurium Capital', ' Cedarlake Capital', ' Unicom Innovation Venture Capital']"
523,Wenheyou,1.55,China,Hunan,Other,"Sequoia Capital China, Warburg Pincus, IDG Capital",2013,None,7,2,2021,0.09244,8,"['Sequoia Capital China', ' Warburg Pincus', ' IDG Capital']"
524,Loom,1.53,United States,San Francisco,Internet software & services,"Kleiner Perkins Caufield & Byers, Sequoia Capital, General Catalyst",2016,None,15,2,2021,0.19848,5,"['Kleiner Perkins Caufield & Byers', ' Sequoia Capital', ' General Catalyst']"
525,Ximalaya FM,1.52,China,Shanghai,Mobile & telecommunications,"China Creation Ventures, Sierra Ventures, Xingwang Investment Management",2012,None,11,2,2017,0.07059,5,"['China Creation Ventures', ' Sierra Ventures', ' Xingwang Investment Management']"
526,Carzone,1.52,China,Jiangsu,E-commerce & direct-to-consumer,"Alibaba Group,Co-Stone Venture Capital, Buhuo Venture Capital",1998,None,13,1,2019,0.94649,21,"['Alibaba Group', 'Co-Stone Venture Capital', ' Buhuo Venture Capital']"
527,Mu Sigma,1.5,United States,Northbrook,Data management & analytics,"Sequoia Capital, General Atlantic",2004,None,8,4,2013,0.208,9,"['Sequoia Capital', ' General Atlantic']"
528,TuJia,1.5,China,Beijing,Travel,"GGV Capital, QiMing Venture Partnersl",2011,Acquired,13,2,2015,0.7637,4,"['GGV Capital', ' QiMing Venture Partnersl']"
529,Mofang Living,1.5,China,Shanghai,E-commerce & direct-to-consumer,"Warburg Pincus, Aviation Industry Corporation of China",2009,None,4,1,2016,0.71,7,"['Warburg Pincus', ' Aviation Industry Corporation of China']"
530,Gett,1.5,United Kingdom,London,Auto & transportation,"Volkswagen, Access Industries, Vostok New Ventures",2010,None,11,9,2016,1.057,6,"['Volkswagen', ' Access Industries', ' Vostok New Ventures']"
531,DT Dream,1.5,China,Hangzhou,Data management & analytics,"Alibaba Group, China Everbright Investment Management, Yinxinggu Capital",2015,None,5,2,2017,0.26035,2,"['Alibaba Group', ' China Everbright Investment Management', ' Yinxinggu Capital']"
532,Changingedu,1.5,China,Shanghai,Edtech,"Trustbridge Partners, IDG Capital, Sequoia Capital China",2014,None,6,1,2017,0.188,3,"['Trustbridge Partners', ' IDG Capital', ' Sequoia Capital China']"
533,XiaoZhu,1.5,China,Beijing,Travel,"Morningside Ventures, Capital Today, JOY Capital",2012,None,12,1,2017,0.5,5,"['Morningside Ventures', ' Capital Today', ' JOY Capital']"
534,JOLLY Information Technology,1.5,China,Hangzhou,E-commerce & direct-to-consumer,"Legend Capital, CDH Investments, Sequoia Capital China",2008,None,10,1,2018,0.10012,10,"['Legend Capital', ' CDH Investments', ' Sequoia Capital China']"
535,Yijiupi,1.5,China,Beijing,Consumer & retail,"Source Code Capital, Meituan Dianping, Tencent Holdings",2014,None,13,3,2018,0.54727,4,"['Source Code Capital', ' Meituan Dianping', ' Tencent Holdings']"
536,Cambridge Mobile Telematics,1.5,United States,Cambridge,Mobile & telecommunications,SoftBank Group,2010,None,1,None,2018,0.5025,8,['SoftBank Group']
537,Collective Health,1.5,United States,San Francisco,Fintech,"New Enterprise Associates, Founders Fund, Google Ventures",2013,None,27,4,2019,0.714,6,"['New Enterprise Associates', ' Founders Fund', ' Google Ventures']"
538,Strava,1.5,United States,San Francisco,Internet software & services,"Jackson Square Ventures, Madrone Capital Partners, Sequoia Capital",2009,None,7,6,2020,0.17984999999999998,11,"['Jackson Square Ventures', ' Madrone Capital Partners', ' Sequoia Capital']"
539,Zenoti,1.5,United States,Bellevue,Internet software & services,"Norwest Venture Partners, Accel, Tiger Global Management",2010,None,9,4,2020,0.34168,10,"['Norwest Venture Partners', ' Accel', ' Tiger Global Management']"
540,K Health,1.5,United States,New York,Health,"Max Ventures, Mangrove Capital Partners, 14W",2016,None,19,1,2021,0.278,5,"['Max Ventures', ' Mangrove Capital Partners', ' 14W']"
541,Uplight,1.5,United States,Boulder,Other,"Rubicon Technology Partners, Max Ventures, Inclusive Capital Partners",2019,None,19,1,2021,0.278,2,"['Rubicon Technology Partners', ' Max Ventures', ' Inclusive Capital Partners']"
542,ID.me,1.5,United States,McLean,Cybersecurity,"Moonshots Capital, BoxGroup, Blu Venture Investors",2010,None,31,3,2021,0.27307,11,"['Moonshots Capital', ' BoxGroup', ' Blu Venture Investors']"
543,Snapdocs,1.5,United States,San Francisco,Fintech,"Sequoia Capital, Y Combinator, F-Prime Capital",2012,None,13,1,2021,0.25,9,"['Sequoia Capital', ' Y Combinator', ' F-Prime Capital']"
544,Chipper Cash,2.0,United States,San Francisco,Fintech,"Deciens Capital, Bezos Expeditions, 500 Startups",2017,None,15,3,2021,0.30260000000000004,4,"['Deciens Capital', ' Bezos Expeditions', ' 500 Startups']"
545,Ledger,1.5,France,Paris,Hardware,"Digital Currency Group, Draper Esprit, Korelya Capital",2014,None,46,4,2021,0.46638,7,"['Digital Currency Group', ' Draper Esprit', ' Korelya Capital']"
546,Next Silicon,1.5,Israel,Tel Aviv,Hardware,"Amiti Ventures, Playground Global, Aleph",2018,None,9,1,2021,0.2266,3,"['Amiti Ventures', ' Playground Global', ' Aleph']"
547,YunQuNa,1.5,China,Shanghai,"Supply chain, logistics, & delivery","Source Code Capital, Coatue Management, DCM Ventures",2015,None,10,1,2021,0.34237,6,"['Source Code Capital', ' Coatue Management', ' DCM Ventures']"
548,Impact,1.5,United States,Santa Barbara,Internet software & services,"Redpoint Ventures, Providence Equity Partners, Silversmith Capital Partners",2008,None,6,2,2021,0.27415,13,"['Redpoint Ventures', ' Providence Equity Partners', ' Silversmith Capital Partners']"
549,SmartRecruiters,1.5,United States,San Francisco,Internet software & services,"Mayfield Fund, Insight Partners, Rembrandt Venture Partners",2010,None,7,4,2021,0.21455000000000002,11,"['Mayfield Fund', ' Insight Partners', ' Rembrandt Venture Partners']"
550,NotCo,1.5,Chile,Santiago,Artificial Intelligence,"Kaszek Ventures, SOSV, Tiger Global Management",2015,None,18,1,2021,0.39583999999999997,6,"['Kaszek Ventures', ' SOSV', ' Tiger Global Management']"
551,Culture Amp,1.5,Australia,Richmond,Internet software & services,"Felicis Ventures, Index Ventures, Blackbird Ventures",2011,None,12,4,2021,0.25830000000000003,10,"['Felicis Ventures', ' Index Ventures', ' Blackbird Ventures']"
552,TaxBit,1.5,United States,Draper,Fintech,"Insight Partners, Coinbase Ventures, PayPal Ventures",2018,None,21,1,2021,0.23575,3,"['Insight Partners', ' Coinbase Ventures', ' PayPal Ventures']"
553,Pacaso,1.5,United States,Cincinnati,Fintech,"Global Founders Capital, Shea Ventures, Greycroft",2020,None,16,2,2021,1.467,1,"['Global Founders Capital', ' Shea Ventures', ' Greycroft']"
554,1047 Games,1.5,United States,Zephyr Cove,Internet software & services,"VGames, Lakestar, Galaxy Interactive",2017,None,10,1,2021,0.1265,4,"['VGames', ' Lakestar', ' Galaxy Interactive']"
555,Matillion,1.5,United Kingdom,Altrincham,Data management & analytics,"Scale Venture Partners, Sapphire Ventures, Battery Ventures",2011,None,8,2,2021,0.31032,10,"['Scale Venture Partners', ' Sapphire Ventures', ' Battery Ventures']"
556,Persona,1.5,United States,San Francisco,Cybersecurity,"Coatue Management, Index Ventures, Founders Fund",2018,None,6,1,2021,0.2175,3,"['Coatue Management', ' Index Ventures', ' Founders Fund']"
557,Whatnot,1.5,United States,Marina del Rey,E-commerce & direct-to-consumer,"Y Combinator, Andreessen Horowitz, Wonder Ventures",2019,None,22,1,2021,0.22415000000000002,2,"['Y Combinator', ' Andreessen Horowitz', ' Wonder Ventures']"
558,Ascend Money,1.5,Thailand,Bangkok,Fintech,"Ant Group, Charoen Pokphand Group, Bow Wave Capital",2013,None,3,1,2021,0.15,8,"['Ant Group', ' Charoen Pokphand Group', ' Bow Wave Capital']"
559,Andela,1.5,United States,New York,Internet software & services,"Spark Capital, Google Ventures, CRE Venture Capital",2014,None,29,4,2021,0.37461,7,"['Spark Capital', ' Google Ventures', ' CRE Venture Capital']"
560,Built,1.5,United States,Nashville,Internet software & services,"Nyca Partners, Index Ventures, Technology Crossover Ventures",2015,None,22,3,2021,0.26812,6,"['Nyca Partners', ' Index Ventures', ' Technology Crossover Ventures']"
561,candy.com,1.5,United States,New York,Fintech,"Insight Partners, Softbank Group, Connect Ventures",2021,None,9,1,2021,0.1,0,"['Insight Partners', ' Softbank Group', ' Connect Ventures']"
562,Devo,1.5,United States,Cambridge,Data management & analytics,"Insight Partners, Kibo Ventures, Bessemer Venture Partners",2011,None,10,3,2021,0.381,10,"['Insight Partners', ' Kibo Ventures', ' Bessemer Venture Partners']"
563,CoinList,1.5,United States,San Francisco,Fintech,"Accomplice, Polychain Capital, GoldenTree Asset Management",2017,None,21,2,2021,0.1692,4,"['Accomplice', ' Polychain Capital', ' GoldenTree Asset Management']"
564,Lusha,1.5,United States,New York,Internet software & services,"PSG, ION Crossover Partners",2016,None,2,1,2021,0.245,5,"['PSG', ' ION Crossover Partners']"
565,CureFit,1.5,India,Bengaluru,Health,"Chiratae Ventures, Accel, Kalaari Capital",2016,None,42,5,2021,0.6794,5,"['Chiratae Ventures', ' Accel', ' Kalaari Capital']"
566,Solugen,1.5,United States,Houston,Other,"Fifty Years Fund, Refactor Capital, Temasek",2016,None,20,1,2021,0.44307,5,"['Fifty Years Fund', ' Refactor Capital', ' Temasek']"
567,Olist,1.5,Brazil,Curitiba,E-commerce & direct-to-consumer,"Redpoint e.ventures, Valor Capital Group, SoftBank Latin America Fund",2015,None,13,2,2021,0.31875,6,"['Redpoint e.ventures', ' Valor Capital Group', ' SoftBank Latin America Fund']"
568,Paradox,1.5,United States,Scottsdale,Internet software & services,"Brighton Park Capital, Blue Cloud Ventures, Workday Ventures",2016,None,14,1,2021,0.25346,5,"['Brighton Park Capital', ' Blue Cloud Ventures', ' Workday Ventures']"
569,Airbyte,1.5,United States,San Francisco,Internet software & services,"Accel, Benchmark, SV Angel",2020,None,14,1,2021,0.18134999999999998,1,"['Accel', ' Benchmark', ' SV Angel']"
570,StoreDot,1.5,Israel,Herzliya,Other,"Samsung Ventures, SingulariTeam, BP Ventures",2012,None,14,4,2022,0.206,10,"['Samsung Ventures', ' SingulariTeam', ' BP Ventures']"
571,Il Makiage,1.5,United States,New York,E-commerce & direct-to-consumer,"L Catterton, Franklin Templeton, First Light Capital Group",2018,None,5,1,2022,0.029,4,"['L Catterton', ' Franklin Templeton', ' First Light Capital Group']"
572,Spendesk,1.5,France,Paris,Fintech,"Index Ventures, Eight Roads Ventures, General Atlantic",2015,None,14,2,2022,0.30034,7,"['Index Ventures', ' Eight Roads Ventures', ' General Atlantic']"
573,Veriff,1.5,Estonia,Tallinn,Artificial intelligence,"Accel, Institutional Venture Partners, Tiger Global Management",2015,None,15,2,2022,0.19232,7,"['Accel', ' Institutional Venture Partners', ' Tiger Global Management']"
574,Athelas,1.5,United States,Mountain View,Health,"Sequoia Capital, General Catalyst, 	Human Capital",2016,None,11,1,2022,0.13608,6,"['Sequoia Capital', ' General Catalyst', ' \tHuman Capital']"
575,ElasticRun,1.5,India,Pune,"Supply chain, logistics, & delivery","Kalaari Capital, Norwest Venture Partners, Prosus Ventures",2016,None,9,4,2022,0.43211,6,"['Kalaari Capital', ' Norwest Venture Partners', ' Prosus Ventures']"
576,Veho,1.5,United States,Boulder,"Supply chain, logistics, & delivery","General Catalyst, Origin Ventures, Fontinalis Partners",2016,None,12,2,2021,0.29928,5,"['General Catalyst', ' Origin Ventures', ' Fontinalis Partners']"
577,Temporal,1.5,United States,Bellevue,Internet software & services,"Amplify Partners, Addition, Madrona Venture Group",2019,None,5,1,2022,0.12175,3,"['Amplify Partners', ' Addition', ' Madrona Venture Group']"
578,Fabric,1.5,United States,Bellevue,E-commerce & direct-to-consumer,"Redpoint Ventures, Norwest Venture Partners, Sierra Ventures",2017,None,11,2,2022,0.29258,5,"['Redpoint Ventures', ' Norwest Venture Partners', ' Sierra Ventures']"
579,Yipin Shengxian,1.49,China,Hefei,E-commerce & direct-to-consumer,"Eastern Bell Capital, Capital Today, Longzhu Capital",2017,None,4,None,2019,0.65849,2,"['Eastern Bell Capital', ' Capital Today', ' Longzhu Capital']"
580,Bordrin Motors,1.48,China,Shanghai,Auto & transportation,"China Grand Prosperity Investment, CSC Group",2016,None,7,None,2019,0.361,3,"['China Grand Prosperity Investment', ' CSC Group']"
581,Coocaa,1.45,China,Shenzhen,Hardware,"Baidu, Tencent Holdings",2006,None,4,3,2018,0.2266,12,"['Baidu', ' Tencent Holdings']"
582,Juma Peisong,1.45,China,Chengdu,"Supply chain, logistics, & delivery","Ding Xiang Capital, New Hope Fund, Sino-Ocean Capital",2011,None,7,None,2018,0.28138,7,"['Ding Xiang Capital', ' New Hope Fund', ' Sino-Ocean Capital']"
583,Ouyeel,1.45,China,Shanghai,Internet software & services,Taigang Venture Capital,2015,None,18,None,2019,0.43372000000000005,4,['Taigang Venture Capital']
584,Gymshark,1.45,United Kingdom,Solihull,E-commerce & direct-to-consumer,General Atlantic,2012,None,1,1,2020,0.3,8,['General Atlantic']
585,Zeta,1.45,United States,San Francisco,Fintech,"Sodexo Ventures, SoftBank Group",2015,None,5,3,2021,0.303,6,"['Sodexo Ventures', ' SoftBank Group']"
586,M1 Finance,1.45,United States,Chicago,Fintech,"Left Lane Capital, Clocktower Technology Ventures, Jump Capital",2015,None,7,3,2021,0.32817,6,"['Left Lane Capital', ' Clocktower Technology Ventures', ' Jump Capital']"
587,Aleo,1.45,United States,San Francisco,Cybersecurity,"Slow Ventures, Andreessen Horowitz, SoftBank Group",2019,None,18,1,2022,0.228,3,"['Slow Ventures', ' Andreessen Horowitz', ' SoftBank Group']"
588,Einride,1.44,Sweden,Stockholm,Auto & transportation,"Temasek,	BUILD Capital Partners, 	Northzone Ventures",2016,None,20,4,2021,0.15081999999999998,5,"['Temasek', '\tBUILD Capital Partners', ' \tNorthzone Ventures']"
589,Justworks,1.43,United States,New York,Internet software & services,"Index Ventures, Thrive Capital, Bain Capital Ventures",2012,None,9,3,2020,0.143,8,"['Index Ventures', ' Thrive Capital', ' Bain Capital Ventures']"
590,SonderMind,1.42,United States,Denver,Health,"Kickstart Fund, General Catalyst, Drive Capital",2014,None,18,None,2021,0.27607,7,"['Kickstart Fund', ' General Catalyst', ' Drive Capital']"
591,Papa,1.4,United States,Miami,Health,"Initialized Capital, Canaan Partners, Sound Ventures",2016,None,14,1,2021,0.24205000000000002,5,"['Initialized Capital', ' Canaan Partners', ' Sound Ventures']"
592,Figment,1.4,Canada,Toronto,Internet software & services,"Bonfire Ventures, Two Sigma Ventures, FJ Labs",2018,None,24,2,2021,0.16384,3,"['Bonfire Ventures', ' Two Sigma Ventures', ' FJ Labs']"
593,Envoy,1.4,United States,San Francisco,Internet software & services,"Andreessen Horowitz, Initialized Capital, TriplePoint Capital",2013,None,15,2,2022,0.2035,9,"['Andreessen Horowitz', ' Initialized Capital', ' TriplePoint Capital']"
594,Deliverect,1.4,Belgium,Ghent,Fintech,"Newion Partners, SmartFin Capital, OMERS Ventures",2018,None,8,1,2022,0.23589,4,"['Newion Partners', ' SmartFin Capital', ' OMERS Ventures']"
595,SparkCognition,1.4,United States,Austin,Artificial intelligence,"March Capital Partners, Temasek, Doha Venture Capital",2013,None,34,4,2022,0.29087999999999997,9,"['March Capital Partners', ' Temasek', ' Doha Venture Capital']"
596,Firebolt,1.4,Israel,Tel Aviv,Data management & analytics,"TLV Partners, Zeev Ventures, Bessemer Venture Partners",2019,None,9,1,2022,0.264,3,"['TLV Partners', ' Zeev Ventures', ' Bessemer Venture Partners']"
597,Koudai,1.4,China,Beijing,E-commerce & direct-to-consumer,"New Enterprise Associates, Tiger Global management, Tencent",2010,None,11,1,2014,0.362,4,"['New Enterprise Associates', ' Tiger Global management', ' Tencent']"
598,Symphony,1.4,United States,New York,Fintech,"BNP Paribas, Goldman Sachs, Google",2014,None,26,4,2017,0.461,3,"['BNP Paribas', ' Goldman Sachs', ' Google']"
599,Yidian Zixun,1.4,China,Beijing,Mobile & telecommunications,"Phoenix New Media, Tianjin Haihe Industry Fund",2013,None,2,None,2017,0.015,4,"['Phoenix New Media', ' Tianjin Haihe Industry Fund']"
600,Cabify,1.4,Spain,Madrid,Auto & transportation,"Seaya Ventures, Otter Rock Capital, Rakuten",2011,None,22,4,2018,0.48147,7,"['Seaya Ventures', ' Otter Rock Capital', ' Rakuten']"
601,Hive Box,1.4,China,Shenzhen,"Supply chain, logistics, & delivery","Eastern Bell Capital, SF Holding Co, STO Express",2015,None,16,2,2018,1.24,3,"['Eastern Bell Capital', ' SF Holding Co', ' STO Express']"
602,Deezer,1.4,France,Paris,Internet software & services,"Orange Digital Ventures, Access Industries",2007,Acquired,11,3,2018,0.4818,11,"['Orange Digital Ventures', ' Access Industries']"
603,Away,1.4,United States,New York,E-commerce & direct-to-consumer,"Global Founders Capital, Comcast Ventures, Forerunner Ventures",2015,None,11,4,2019,0.18109999999999998,4,"['Global Founders Capital', ' Comcast Ventures', ' Forerunner Ventures']"
604,Kong,1.4,United States,San Francisco,Internet software & services,"New Enterprise Associates, CRV, Index Ventures",2007,None,17,3,2020,0.1705,13,"['New Enterprise Associates', ' CRV', ' Index Ventures']"
605,Epidemic Sound,1.4,Sweden,Stockholm,Internet software & services,"EQT Partners, Blackstone",2009,None,9,6,2021,0.47614,12,"['EQT Partners', ' Blackstone']"
606,Yotpo,1.4,United States,New York,Internet software & services,"Bessemer Venture Partners, Vintage Investment Partners, Blumberg Capital",2011,None,20,3,2021,0.436,10,"['Bessemer Venture Partners', ' Vintage Investment Partners', ' Blumberg Capital']"
607,Rebel Foods,1.4,India,Pune,E-commerce & direct-to-consumer,"Sequoia Capital India, Lightbox Ventures, Coatue Management",2011,None,18,7,2021,0.49521,10,"['Sequoia Capital India', ' Lightbox Ventures', ' Coatue Management']"
608,Coda,1.4,United States,Mountain View,Internet software & services,"Greylock Partners, General Catalyst, Khosla Ventures",2014,None,18,7,2021,0.49521,7,"['Greylock Partners', ' General Catalyst', ' Khosla Ventures']"
609,Five Star Business Finance,1.4,India,Chennai,Other,"Sequoia Capital India, Tiger Global Management, Tencent",1984,None,7,4,2021,0.45977999999999997,37,"['Sequoia Capital India', ' Tiger Global Management', ' Tencent']"
610,Stash,1.4,United States,New York,Fintech,"Goodwater Capital, Entree Capital, Valar Ventures",2015,None,13,6,2021,0.43925,6,"['Goodwater Capital', ' Entree Capital', ' Valar Ventures']"
611,Phenom People,1.4,United States,Ambler,Internet software & services,"Sierra Ventures, AXA Venture Partners, Sigma Prime Ventures",2011,None,13,3,2021,0.16302,10,"['Sierra Ventures', ' AXA Venture Partners', ' Sigma Prime Ventures']"
612,GupShup,1.4,United States,San Francisco,Internet software & services,"Helion Venture Partners, Tiger Global management, CRV",2011,None,13,3,2021,0.16302,10,"['Helion Venture Partners', ' Tiger Global management', ' CRV']"
613,Degreed,1.4,United States,Pleasanton,Edtech,"Signal Peak Ventures, Owl Ventures, Jump Capital",2012,None,14,3,2021,0.38592000000000004,9,"['Signal Peak Ventures', ' Owl Ventures', ' Jump Capital']"
614,Astranis Space Technologies,1.4,United States,San Francisco,Mobile & telecommunications,"Refactor Capital, Andreessen Horowitz, Fifty Years Fund",2015,None,26,2,2021,0.35807,6,"['Refactor Capital', ' Andreessen Horowitz', ' Fifty Years Fund']"
615,Scalable Capital,1.4,Germany,Munich,Fintech,"BlackRock, Tengelmann Ventures, Holtzbrinck Ventures",2014,None,10,4,2021,0.31427999999999995,7,"['BlackRock', ' Tengelmann Ventures', ' Holtzbrinck Ventures']"
616,VideoAmp,1.4,United States,Los Angeles,Internet software & services,"Simon Equity Partners, Wavemaker Partners, Anthem Venture Partners",2014,None,18,3,2021,0.43710000000000004,7,"['Simon Equity Partners', ' Wavemaker Partners', ' Anthem Venture Partners']"
617,Panther Labs,1.4,United States,San Francisco,Cybersecurity,"Innovation Endeavors, s28 Capital, Lightspeed Venture Partners",2018,None,8,1,2021,0.14038,3,"['Innovation Endeavors', ' s28 Capital', ' Lightspeed Venture Partners']"
618,Salt Security,1.4,United States,Palo Alto,Cybersecurity,"Y Combinator, S Capital, Tenaya Capital",2016,None,14,2,2022,0.27074000000000004,6,"['Y Combinator', ' S Capital', ' Tenaya Capital']"
619,Tripledot Studios,1.4,United Kingdom,London,Mobile & telecommunications,"Lightspeed Venture Partners, Access Industries, Eldridge",2017,None,5,2,2022,0.202,5,"['Lightspeed Venture Partners', ' Access Industries', ' Eldridge']"
620,Veepee,1.38,France,La Plaine Saint-Denis,E-commerce & direct-to-consumer,"Summit Partners, Qatar Holding",2001,None,5,2,2007,0.202,6,"['Summit Partners', ' Qatar Holding']"
621,Neon,1.38,Brazil,Sao Paulo,Fintech,"Propel Venture Partners, Monashees+, BBVA",2016,None,16,2,2022,0.72042,6,"['Propel Venture Partners', ' Monashees+', ' BBVA']"
622,DeepBlue Technology,1.35,China,Shanghai,Artificial intelligence,"DESUN Capital, Yunfeng Capital, Meridian Capital",2014,None,10,None,2018,0.07928,4,"['DESUN Capital', ' Yunfeng Capital', ' Meridian Capital']"
623,Klook,1.35,Hong Kong,Central,Travel,"Sequoia Capital China, Goldman Sachs, Matrix Partners China",2014,None,14,3,2018,0.7211900000000001,4,"['Sequoia Capital China', ' Goldman Sachs', ' Matrix Partners China']"
624,Yaoshibang,1.35,China,Guangzhou,Health,"Green Pine Capital Partners, Ivy Capital, DCM Ventures",2015,None,15,2,2021,0.49719,6,"['Green Pine Capital Partners', ' Ivy Capital', ' DCM Ventures']"
625,At-Bay,1.35,United States,Mountain View,Fintech,"Lightspeed Venture Partners, Khosla Ventures, Munich Re Ventures",2016,None,11,2,2021,0.292,5,"['Lightspeed Venture Partners', ' Khosla Ventures', ' Munich Re Ventures']"
626,Alloy,1.35,United States,New York,Fintech,"Bessemer Venture Partners, Eniac Ventures, Canapi Ventures",2015,None,12,1,2021,0.15591999999999998,6,"['Bessemer Venture Partners', ' Eniac Ventures', ' Canapi Ventures']"
627,Epirus,1.35,United States,Hawthorne,Other,"8VC, Bedrock Capital, Broom Ventures",2018,None,18,1,2022,0.28739,4,"['8VC', ' Bedrock Capital', ' Broom Ventures']"
628,Signifyd,1.34,United States,San Jose,Fintech,"Menlo Ventures, Resolute Ventures, IA Ventures",2011,None,19,7,2021,0.4112,10,"['Menlo Ventures', ' Resolute Ventures', ' IA Ventures']"
629,Motorway,1.33,United Kingdom,London,E-commerce & direct-to-consumer,"Marchmont Ventures, BMW i Ventures, Index Ventures",2017,None,10,1,2021,0.27459,4,"['Marchmont Ventures', ' BMW i Ventures', ' Index Ventures']"
630,RIDI,1.33,South Korea,Seoul,E-commerce & direct-to-consumer,"Atinum Investment, Company K Partners, GIC",2008,None,14,5,2022,0.33123,14,"['Atinum Investment', ' Company K Partners', ' GIC']"
631,Flipboard,1.32,United States,Palo Alto,Internet software & services,"Kleiner Perkins Caufield & Byers, Comcast Ventures, Insight Partners",2010,None,19,5,2015,0.2105,5,"['Kleiner Perkins Caufield & Byers', ' Comcast Ventures', ' Insight Partners']"
632,Grove Collaborative,1.32,United States,San Francisco,E-commerce & direct-to-consumer,"MHS Capital, NextView Ventures, Mayfield Fund",2016,None,21,5,2019,0.45300999999999997,3,"['MHS Capital', ' NextView Ventures', ' Mayfield Fund']"
633,GPclub,1.32,South Korea,Seoul,Other,Goldman Sachs,2003,None,1,1,2018,0.06616,15,['Goldman Sachs']
634,Tongdun Technology,1.32,China,Hangzhou,Cybersecurity,"Advantech Capital, Temasek Holdings Ltd., Tiantu Capital Co.",2013,None,17,5,2019,0.36144,6,"['Advantech Capital', ' Temasek Holdings Ltd.', ' Tiantu Capital Co.']"
635,Athletic Greens,1.32,United States,New York,Health,"SC.Holdings, Not Boring Capital, Bolt Ventures",2010,None,33,1,2022,0.115,12,"['SC.Holdings', ' Not Boring Capital', ' Bolt Ventures']"
636,Unisound,1.31,China,Beijing,Artificial intelligence,"Qiming Venture Partners, China Internet Investment Fund, Qualcomm Ventures",2012,None,15,3,2018,0.33911,6,"['Qiming Venture Partners', ' China Internet Investment Fund', ' Qualcomm Ventures']"
637,Alzheon,1.31,United States,Framingham,Health,"ARCH Venture Partners, Ally Bridge Group",2013,None,4,2,2020,0.09440000000000001,7,"['ARCH Venture Partners', ' Ally Bridge Group']"
638,HeartFlow,1.3,United States,Redwood City,Health,"BlueCross BlueShield Venture Partners, US Venture Partners",2007,None,12,9,2017,0.54241,10,"['BlueCross BlueShield Venture Partners', ' US Venture Partners']"
639,Trax,1.3,Singapore,Artificial intelligence,"Hopu Investment Management, Boyu Capital, DC Thomson Ventures",None,2010,None,10,5,2019,1.013,9,['None']
640,You & Mr Jones,1.3,United States,New York,Other,Undisclosed,2015,None,10,5,2019,1.013,4,['Undisclosed']
