,Company,Valuation ($B),Country,City,Industry,Select Inverstors,Founded Year,Financial Stage,Investors Count,Deal Terms,Year Joined,Total Raised ($B),years_to_unicorn,Select_Inverstor_1
101,Royole Corporation,6.0,China,Shenzhen,Hardware,"Warmsun Holding, IDG Capital Partners",2012,None,32,4,2015,1.414,3,"['Warmsun Holding', ' IDG Capital Partners']"
102,Better.com,6.0,United States,New York,Fintech,"Pine Brook, American Express Ventures, Kleiner Perkins Caufield & Byers",2018,None,2,None,2020,0.0014199999999999998,2,"['Pine Brook', ' American Express Ventures', ' Kleiner Perkins Caufield & Byers']"
103,Wiz,6.0,Israel,Tel Aviv,Cybersecurity,"Insight Partners, Sequoia Capital, Index Ventures",2020,None,10,4,2021,0.6,1,"['Insight Partners', ' Sequoia Capital', ' Index Ventures']"
104,iCapital Network,6.0,United States,New York,Fintech,"BlackRock, Blackstone, UBS",2013,None,28,2,2021,0.72922,8,"['BlackRock', ' Blackstone', ' UBS']"
105,Pine Labs,6.0,India,Noida,Fintech,"Sequoia Capital India, Temasek, PayPal Ventures",1998,None,25,6,2020,1.077,22,"['Sequoia Capital India', ' Temasek', ' PayPal Ventures']"
106,6Sense,5.2,United States,San Francisco,Artificial intelligence,"Venrock, Battery Ventures, Insight Partners",2013,None,19,6,2021,0.424,8,"['Venrock', ' Battery Ventures', ' Insight Partners']"
107,Attentive,5.99,United States,Hoboken,Mobile & telecommunications,"NextView Ventures, Eniac Ventures, Sequoia Capital",2016,None,12,2,2020,0.86452,4,"['NextView Ventures', ' Eniac Ventures', ' Sequoia Capital']"
108,Easyhome,5.78,China,Beijing,Consumer & retail,"Alibaba Group, Boyu Capital, Borui Capital",1999,IPO,12,1,2018,2.085,19,"['Alibaba Group', ' Boyu Capital', ' Borui Capital']"
109,Lianjia,5.77,China,Beijing,E-commerce & direct-to-consumer,"Tencent, Baidu, Huasheng Capital",2001,IPO,15,2,2016,1.701,15,"['Tencent', ' Baidu', ' Huasheng Capital']"
110,Vice Media,5.7,United States,Brooklyn,Internet software & services,"Technology Crossover Ventures, A&E Television Networks",1994,Acquired,14,6,2011,1.555,17,"['Technology Crossover Ventures', ' A&E Television Networks']"
111,Cityblock Health,5.7,United States,Brooklyn,Health,"Thrive Capital, Maverick Ventures, Redpoint Ventures",2017,None,17,3,2020,0.8913,3,"['Thrive Capital', ' Maverick Ventures', ' Redpoint Ventures']"
112,Workato,5.7,United States,Mountain View,Internet software & services,"Battery Ventures, Storm Ventures, Redpoint Ventures",2013,None,11,3,2021,0.415,8,"['Battery Ventures', ' Storm Ventures', ' Redpoint Ventures']"
113,Back Market,5.7,France,Paris,E-commerce & direct-to-consumer,"Aglae Ventures, Eurazeo, Daphni",2014,None,12,4,2021,1.021,7,"['Aglae Ventures', ' Eurazeo', ' Daphni']"
114,RELEX Solutions,5.7,Finland,Helsinki,"Supply chain, logistics, & delivery","Blackstone, Technology Crossover Ventures, Summit Partners",2005,None,4,1,2022,0.7923600000000001,17,"['Blackstone', ' Technology Crossover Ventures', ' Summit Partners']"
115,Postman,5.6,United States,San Francisco,Internet software & services,"Nexus Venture Partners, CRV, Insight Partners",2014,None,8,3,2020,0.433,6,"['Nexus Venture Partners', ' CRV', ' Insight Partners']"
116,FiveTran,5.6,United States,Oakland,Data management & analytics,"Matrix Partners, Andreessen Horowitz, General Catalyst",2012,None,8,3,2020,0.72802,8,"['Matrix Partners', ' Andreessen Horowitz', ' General Catalyst']"
117,Pony.ai,5.3,United States,Fremont,Artificial intelligence,"Sequoia Capital China, IDG Capital, DCM Ventures",2016,None,25,7,2018,1.093,2,"['Sequoia Capital China', ' IDG Capital', ' DCM Ventures']"
118,Trade Republic,5.3,Germany,Berlin,Fintech,"Founders Fund. Accel, Creandum",2015,None,7,1,2021,0.98688,6,"['Founders Fund. Accel', ' Creandum']"
119,Rappi,5.25,Colombia,Bogota,"Supply chain, logistics, & delivery","DST Global, Andreessen Horowitz, Sequoia Capital, Redpoint e.ventures",2015,None,35,5,2018,2.248,3,"['DST Global', ' Andreessen Horowitz', ' Sequoia Capital', ' Redpoint e.ventures']"
120,Collibra,5.25,Belgium,Brussels,Data management & analytics,"Index Ventures, Battery Ventures, ICONIQ Capital",2008,None,13,6,2019,0.5959,11,"['Index Ventures', ' Battery Ventures', ' ICONIQ Capital']"
121,Blockchain.com,5.2,United Kingdom,London,Fintech,"Lightspeed Venture Partners, Google Ventures, Lakestar",2011,Acq,22,4,2021,0.4905,10,"['Lightspeed Venture Partners', ' Google Ventures', ' Lakestar']"
122,OneTrust,5.1,United States,Atlanta,Internet software & services,Insight Partners,2016,None,5,3,2019,0.93729,3,['Insight Partners']
123,QuintoAndar,5.1,Brazil,Campinas,E-commerce & direct-to-consumer,"Kaszek Ventures, General Atlantic, SoftBank Group",2012,None,16,6,2019,0.75574,7,"['Kaszek Ventures', ' General Atlantic', ' SoftBank Group']"
124,C6 Bank,5.05,Brazil,Sao Paulo,Fintech,Credit Suisse,2018,None,16,6,2020,0.75574,2,['Credit Suisse']
125,United Imaging Healthcare,5.0,China,Shanghai,Health,"China Life Insurance, China Development Bank Capital, CITIC Securities International",2011,None,6,1,2017,0.5,6,"['China Life Insurance', ' China Development Bank Capital', ' CITIC Securities International']"
126,Hello TransTech,5.0,China,Shanghai,Auto & transportation,"Ant Financial Services Group, GGV Capital",2016,None,13,3,2018,2.701,2,"['Ant Financial Services Group', ' GGV Capital']"
127,Deel,5.5,United States,San Francisco,Fintech,"Andreessen Horowitz, Spark Capital, Y Combinator",2018,None,19,3,2021,0.62515,3,"['Andreessen Horowitz', ' Spark Capital', ' Y Combinator']"
128,Airwallex,5.5,Australia,Melbourne,Fintech,"DST Global, Sequoia Capital China, Tencent Holdings",2015,None,23,8,2019,0.802,4,"['DST Global', ' Sequoia Capital China', ' Tencent Holdings']"
129,Mambu,5.5,Netherlands,Amsterdam,Fintech,"Runa Capital, Acton Capital Partners, Point Nine Capital",2011,None,10,4,2021,0.44551,10,"['Runa Capital', ' Acton Capital Partners', ' Point Nine Capital']"
130,Horizon Robotics,5.0,China,Beijing,Artificial intelligence,"Hillhouse Capital Management, Linear Venture, Morningside Venture Capital",2015,None,56,2,2019,2.2,4,"['Hillhouse Capital Management', ' Linear Venture', ' Morningside Venture Capital']"
131,WM Motor,5.0,China,Shanghai,Auto & transportation,"Baidu Capital, Linear Venture, Tencent",2015,None,35,1,2019,5.987,4,"['Baidu Capital', ' Linear Venture', ' Tencent']"
132,Howden Group Holdings,5.0,United Kingdom,London,Other,"General Atlantic, 3i Group, Huagai Capital",1994,Take,4,3,2020,0.18725999999999998,26,"['General Atlantic', ' 3i Group', ' Huagai Capital']"
133,SambaNova Systems,5.0,United States,Palo Alto,Data management & analytics,"Walden International, Google Ventures, Intel Capital",2017,None,10,2,2021,1.132,4,"['Walden International', ' Google Ventures', ' Intel Capital']"
134,ZEPZ,5.0,United Kingdom,London,Fintech,"Accel, Technology Crossover Ventures, LeapFrog Investments",2010,None,9,6,2021,0.692,11,"['Accel', ' Technology Crossover Ventures', ' LeapFrog Investments']"
